,,,,,,,
,,,,,,,
SCORING RULES,,,,,,,
2025 DRAFT,,,,,,,
,,,,,,,
,,,,,,,
,Increment,2026-27,2025-26,2024-25,2023-24,2022-23,Baseline Stats
Special Teams Forced Fumble,±10,1,1,1,1,1,
Special Teams Fumble Recovery,±10,1,1,1,1,1,
Special Teams Solo Tackle,±3,0,0,0,,,
Punt Return Yards ,±0.3,0,0,0,,,
Kick Return Yards ,±0.2,0.2,0,0,,,
Special Teams Player,,0,0,0,,,
Special Teams Player TD,±10,6,6,6,6,6,
Special Teams Player Forced Fumble,±10,1,1,1,1,1,
Special Teams Player Fumble Recovery,±10,1,1,1,1,1,
Special Teams Solo Tackle,±3,0,0,0,,,
Player Punt Return Yards ,±0.3,0,0,0,,,
Player Kick Return Yards ,±0.2,0,0,0,,,
Misc,,,,,,,
Fumble,±3,0,0,0,0,0,
Fumble Lost,±5,-2,-2,-2,-2,-2,
Fumble Recovery TD,±10,6,6,6,6,6,
100-199 Yard Rushing Game,±5,1,1,1,1,,
200+ Yard Rushing Game,±50,0,0,0,,,
100-199 Yard Receiving Game,±5,0,0,0,,,
200+ Yard Receiving Game,±50,50,0,0,,,
300-399 Yard Passing Game,±10,0,0,0,,,
400+ Yard Passing Game,±10,0,0,0,,,
100-199 Combined Rush + Rec Yards,±5,0,0,0,,,
200+ Combined Rush + Rec Yards,±10,0,0,0,,,
25+ Pass Completions,±5,1,1,1,,,
20+ Carries,±5,0,0,0,,,
First Down Bonus - RB,±2,0,0,0,,,
First Down Bonus - WR,±2,0,0,0,,,
First Down Bonus - TE,±3,0,0,0,,,
First Down Bonus - QB,±1,0,0,0,,,
Individual Defensive Player,,,,,,,
IDP Touchdown,±10,6,6,6,6,6,
Sack,±3,7,4,4,4,4,
Sack Yards ,±0.3,0,0,0,,,
Hit on QB,±2,2,2,2,2,2,
Tackle,±0.5,2,2,2,1,1,
Tackle For Loss,±3,0,0,0,,,
"Blocked Punt, PAT, or FG",±10,2,2,2,2,2,
Interception,±3,4,4,4,4,4,
Interception Return Yards ,±0.3,0,0,0,,,
Fumble Recovery,±5,0,0,0,,,
Fumble Recovery Return Yards ,±0.5,0.05,0.05,0.05,,,
Forced Fumble,±3,2,2,2,2,2,
Safety,±10,2,2,2,2,2,
Assisted Tackle,±1,0,0,0,,,
Solo Tackle,±0.5,1,1,1,1,1,
Pass Defended,±2,1,1,1,1,1,
10+ Tackle Bonus,±5,0,0,0,,,
2+ Sack Bonus,±5,0,0,0,,,
3+ Pass Defended Bonus,±10,0,0,0,,,
50+ Yard Interception Return TD Bonus,±10,0,0,0,,,
50+ Yard Fumble Recovery Return TD Bonus,±50,0,0,0,,,
